iter	Passed	Remaining
0	1	173
1	3	176
2	5	170
3	7	191
4	9	182
5	11	173
6	12	166
7	13	156
8	14	149
9	16	146
10	17	143
11	19	140
12	20	135
13	21	133
14	23	131
15	24	129
16	26	127
17	27	125
18	28	123
19	30	121
20	31	120
21	33	118
22	34	116
23	36	114
24	37	112
25	39	111
26	40	109
27	41	107
28	43	105
29	44	104
30	46	102
31	47	101
32	49	101
33	52	101
34	53	99
35	54	97
36	55	95
37	57	93
38	58	92
39	60	90
40	61	89
41	63	87
42	65	86
43	66	84
44	67	83
45	69	81
46	71	80
47	72	78
48	74	77
49	75	75
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	83	65
56	84	63
57	85	61
58	86	60
59	88	58
60	89	57
61	90	55
62	91	54
63	93	52
64	94	50
65	95	49
66	96	47
67	98	46
68	99	44
69	100	43
70	102	41
71	103	40
72	104	38
73	105	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	29
79	114	28
80	115	27
81	116	25
82	117	24
83	119	22
84	120	21
85	121	19
86	122	18
87	124	16
88	125	15
89	126	14
90	128	12
91	129	11
92	130	9
93	132	8
94	133	7
95	134	5
96	136	4
97	137	2
98	138	1
99	140	0
