id,name,week,time of day,N,benefits,link
1,Biceps Curl,1,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
2,Biceps Curl,2,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
3,Biceps Curl,3,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
4,Biceps Curl,4,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
5,Biceps Curl,5,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
6,Biceps Curl,6,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
7,Biceps Curl,7,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
8,Biceps Curl,8,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
9,Biceps Curl,9,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
10,Biceps Curl,10,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
11,Biceps Curl,11,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
12,Biceps Curl,12,Morning,10,"Builds arm strength, supports daily tasks",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
13,Biceps Curl,13,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
14,Biceps Curl,14,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
15,Biceps Curl,15,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
16,Biceps Curl,16,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
17,Biceps Curl,17,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
18,Biceps Curl,18,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
19,Biceps Curl,19,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
20,Biceps Curl,20,Morning,10,"Maintain strength, adapt weight as needed",https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
21,Biceps Curl,21,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
22,Biceps Curl,22,Morning,8,Reduce reps if fatigue increases,https://www.physio-pedia.com/Antenatal_Exercises#Muscle_Strengthening
